,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
447,79000000,Hattigauda,3155.0,SOUTH-WEST,5.0,6.0,3.0,1.0,334,13.0,,
449,39500000,Budhanilkantha,1.0,SOUTH-WEST,5.0,5.0,2.0,1.0,113,18.0,,
1,25000000,Imadol,256.68,South,7.0,4.0,2.0,2.0,8,13.0,,3.0
4,38000000,Imadol,169.012,East,7.0,5.0,2.0,2.0,16,13.0,,3.5
5,32000000,Imadol,126.759,East,5.0,4.0,2.0,2.0,13,13.0,,3.0
6,115000000,Sinamangal,422.53,West,4.0,3.0,2.0,1.0,10,20.0,,2.0
7,40000000,Harisiddhi,295.771,East,6.0,4.0,2.0,2.0,14,13.0,,2.5
8,32500000,Safaray,169.012,South,8.0,4.0,2.0,2.0,10,13.0,,2.5
9,28000000,Bhaisepati,169.012,South,6.0,3.0,2.0,2.0,13,16.0,,2.5
10,22000000,Bhaisepati,105.6325,North,6.0,4.0,1.0,2.0,13,16.0,,3.5
11,32500000,Bhaisepati,295.771,West,6.0,4.0,1.0,2.0,13,13.0,,2.0
13,27000000,Bhaisepati,169.012,West,6.0,3.0,2.0,2.0,13,14.0,,2.5
14,38000000,Bhaisepati,190.1385,North,6.0,3.0,2.0,2.0,13,13.0,,2.5
17,32000000,Imadol,147.8855,East,7.0,4.0,2.0,2.0,7,13.0,,3.0
18,115000000,Kathmandu,63.3795,East,2.0,5.0,0.0,0.0,12,26.0,,6.0
19,52500000,Bhaisepati,232.3915,East,6.0,5.0,2.0,2.0,15,16.0,,2.5
21,0,Bhaisepati,295.771,South,5.0,6.0,2.0,2.0,15,20.0,,2.5
22,39000000,Bhaisepati,169.012,South,6.0,5.0,2.0,1.0,14,20.0,,3.5
23,50000000,Bhhangal,232.3915,North,4.0,4.0,2.0,3.0,10,13.0,,3.5
24,50000000,Bhungal,232.3915,North,3.0,3.0,1.0,2.0,7,13.0,,2.5
25,53500000,Near,6.6,East,6.0,6.0,2.0,2.0,6,20.0,,3.5
27,39500000,Buddhanilkanth,342.24,West,4.0,4.0,1.0,1.0,7,13.0,,2.5
